"TOA5","WILSON","CR1000X","53426","CR1000X.Std.07.02","CPU:Wilson_v4.6CR1X_20240814.CR1X","42526","SontekTable"
"TIMESTAMP","RECORD","SONTEK_ID","Sample_number","yyyy","MM","dd","hh","Minute","ss","Flowrate","Stage","Mean_velocity","Total_volume","Water_depth","Index_velocity","Cross_area","Water_temperature","System_status","Velocity_XZxc","Velocity_XZzc","Velocity_XZxL","Velocity_XZxR","Batt_Vol_Sontek","Pitch_angle","Roll_angle","Perc_submergance","IceScore"
"TS","RN","","","","","","","","","m","m","m/s","m3","m","m/s","m2","Celsius","unitless","m/s","m/s","m/s","m/s","volts","degrees","degrees","percent","integer"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-08-19 09:39:00",1714,"",1697,2024,7,16,16,42,0,0,0.905,0,6110.886,0.855,-0.354,0,28.6,130,-0.354,0.033,-0.173,-0.576,11.34,2.6,2.7,100,0
"2024-08-19 09:42:00",1715,"",1697,2024,7,16,16,42,0,0,0.905,0,6110.886,0.855,-0.354,0,28.6,130,-0.354,0.033,-0.173,-0.576,11.34,2.6,2.7,100,0
"2024-08-19 09:45:00",1716,"",1698,2024,7,16,16,48,0,0,0.917,0,6110.886,0.867,-0.38,0,28.61,130,-0.38,0.033,-0.187,-0.578,11.34,2.7,2.7,100,0
"2024-08-19 09:48:00",1717,"",1698,2024,7,16,16,48,0,0,0.917,0,6110.886,0.867,-0.38,0,28.61,130,-0.38,0.033,-0.187,-0.578,11.34,2.7,2.7,100,0
"2024-08-19 09:51:00",1718,"",1699,2024,7,16,16,54,0,0,0.934,0,6110.886,0.884,-0.364,0,28.63,130,-0.364,0.035,-0.18,-0.574,11.34,2.7,2.7,100,0
"2024-08-19 09:54:00",1719,"",1699,2024,7,16,16,54,0,0,0.934,0,6110.886,0.884,-0.364,0,28.63,130,-0.364,0.035,-0.18,-0.574,11.34,2.7,2.7,100,0
"2024-08-19 09:57:00",1720,"",1700,2024,7,16,17,0,0,0,0.949,0,6110.886,0.899,-0.358,0,28.63,130,-0.358,0.036,-0.171,-0.578,11.34,2.8,2.7,100,0
"2024-08-19 10:00:00",1721,"",1700,2024,7,16,17,0,0,0,0.949,0,6110.886,0.899,-0.358,0,28.63,130,-0.358,0.036,-0.171,-0.578,11.34,2.8,2.7,100,0
"2024-08-19 10:03:00",1722,"",1701,2024,7,16,17,6,0,0,0.963,0,6110.886,0.913,-0.343,0,28.63,130,-0.343,0.032,-0.148,-0.53,11.34,2.7,2.7,100,0
"2024-08-19 10:06:00",1723,"",1701,2024,7,16,17,6,0,0,0.963,0,6110.886,0.913,-0.343,0,28.63,130,-0.343,0.032,-0.148,-0.53,11.34,2.7,2.7,100,0
"2024-08-19 10:09:00",1724,"",1702,2024,7,16,17,12,0,0,0.977,0,6110.886,0.927,-0.329,0,28.64,130,-0.329,0.031,-0.148,-0.526,11.34,2.6,2.6,100,0
"2024-08-19 10:12:00",1725,"",1702,2024,7,16,17,12,0,0,0.977,0,6110.886,0.927,-0.329,0,28.64,130,-0.329,0.031,-0.148,-0.526,11.34,2.6,2.6,100,0
"2024-08-19 10:15:00",1726,"",1703,2024,7,16,17,18,0,0,0.991,0,6110.886,0.941,-0.296,0,28.65,130,-0.296,0.024,-0.138,-0.485,11.34,2.6,2.5,100,0
"2024-08-19 10:18:00",1727,"",1703,2024,7,16,17,18,0,0,0.991,0,6110.886,0.941,-0.296,0,28.65,130,-0.296,0.024,-0.138,-0.485,11.34,2.6,2.5,100,0
"2024-08-19 10:21:00",1728,"",1704,2024,7,16,17,24,0,0,1.006,0,6110.886,0.956,-0.262,0,28.66,130,-0.262,0.02,-0.115,-0.437,11.34,2.4,2.3,100,0
"2024-08-19 10:24:00",1729,"",1704,2024,7,16,17,24,0,0,1.006,0,6110.886,0.956,-0.262,0,28.66,130,-0.262,0.02,-0.115,-0.437,11.34,2.4,2.3,100,0
"2024-08-19 10:27:00",1730,"",1705,2024,7,16,17,30,0,0,1.02,0,6110.886,0.97,-0.228,0,28.67,130,-0.228,0.018,-0.101,-0.41,11.34,2.2,2.4,100,0
"2024-08-19 10:30:00",1731,"",1705,2024,7,16,17,30,0,0,1.02,0,6110.886,0.97,-0.228,0,28.67,130,-0.228,0.018,-0.101,-0.41,11.34,2.2,2.4,100,0
"2024-08-19 10:33:00",1732,"",1706,2024,7,16,17,36,0,0,1.032,0,6110.886,0.982,-0.218,0,28.67,130,-0.218,0.012,-0.101,-0.341,11.34,2.1,2,100,0
"2024-08-19 10:36:00",1733,"",1706,2024,7,16,17,36,0,0,1.032,0,6110.886,0.982,-0.218,0,28.67,130,-0.218,0.012,-0.101,-0.341,11.34,2.1,2,100,0
"2024-08-19 10:39:00",1734,"",1707,2024,7,16,17,42,0,0,1.044,0,6110.886,0.994,-0.195,0,28.68,130,-0.195,0.009,-0.091,-0.305,11.34,2,1.9,100,0
"2024-08-19 10:42:00",1735,"",1707,2024,7,16,17,42,0,0,1.044,0,6110.886,0.994,-0.195,0,28.68,130,-0.195,0.009,-0.091,-0.305,11.34,2,1.9,100,0
"2024-08-19 10:45:00",1736,"",1708,2024,7,16,17,48,0,0,1.056,0,6110.886,1.006,-0.175,0,28.7,130,-0.175,0.009,-0.089,-0.264,11.34,1.9,1.9,100,0
"2024-08-19 10:48:00",1737,"",1708,2024,7,16,17,48,0,0,1.056,0,6110.886,1.006,-0.175,0,28.7,130,-0.175,0.009,-0.089,-0.264,11.34,1.9,1.9,100,0
"2024-08-19 10:51:00",1738,"",1709,2024,7,16,17,54,0,0,1.067,0,6110.886,1.017,-0.158,0,28.73,130,-0.158,0.007,-0.056,-0.253,11.34,1.9,1.9,100,0
