"TOA5","WILSON","CR1000X","53426","CR1000X.Std.07.02","CPU:Wilson_v4.6CR1X_20240814.CR1X","42526","Rad7Table"
"TIMESTAMP","RECORD","Record_RAD7","Year_RAD7","Month_RAD7","Day_Rad7","Hour_Rad7","Minute_Rad7","Total_Counts_Rad7","Live_Time_Rad7","PER_TOT_A_Rad7","PER_TOT_B_Rad7","PER_TOT_C_Rad7","PER_TOT_D_Rad7","High_Voltage_Level_Rad7","High_Voltage_Duty_Rad7","Temp_sample_Rad7","RH_sample_Rad7","Leakage_Current_Rad7","Battery_Volt_Rad7","Pump_current_Rad7","Flags_Byte_Rad7","Radon_concentration_Rad7","Radon_concentration_uncertainty_Rad7","Units_Byt_Rad7"
"TS","RN","###","YY","MM","dd","hh","MM","integer","minutes","percent","percent","percent","percent","Volts","percent","celcius","percent","integer","Volts","mA","integer","Bq/m3","Bq/m3","integer"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-08-15 17:30:00",4,-2147483648,254,24,8,15,15,28,0,4.7,0,0,0,0,2218,8,32,22,2,7.03,10,132,0,147
"2024-08-15 17:45:00",5,-2147483648,254,24,8,15,15,33,0,4.7,0,0,0,0,2218,8,32,16,2,7.03,0,132,0,147
"2024-08-15 18:00:00",6,353,24,8,15,15,51,2,14,50,0,0,0,2218,8,31.7,11,2,7.03,10,132,12.35599,59.65997,254
"2024-08-15 18:15:00",7,354,24,8,15,16,6,6,14,66.7,0,16.7,0,2218,8,31.7,8,2,7.03,10,132,49.24961,79.68754,254
"2024-08-15 18:30:00",8,355,24,8,15,16,21,8,14,75,12.5,12.5,0,2236,8,31.4,7,2,7.03,10,132,74.00493,89.93452,254
"2024-08-15 18:45:00",9,356,24,8,15,16,36,9,14,33.3,22.2,44.5,0,2218,8,30.8,6,2,7.03,0,132,37.00247,74.00493,254
"2024-08-15 19:00:00",10,57,24,8,15,16,51,21,14,81,4.8,14.3,0,2218,9,30.5,6,2,7.03,0,132,209.6806,129.3271,254
"2024-08-15 19:15:00",11,358,24,8,15,17,6,9,14,44.5,0,55.6,0,2218,8,29.9,5,2,7.06,0,132,49.33662,79.82834,254
"2024-08-15 19:30:00",12,59,24,8,15,17,21,23,14,30.4,4.4,56.5,4.4,2201,8,29.6,5,2,7.03,10,132,74.13592,94.60797,254
"2024-08-15 19:45:00",13,360,24,8,15,17,36,9,14,55.6,0,22.2,0,2236,9,29.3,5,2,7.03,0,132,61.77993,85.24369,254
"2024-08-15 20:00:00",14,61,24,8,15,17,51,15,14,46.7,0,46.7,0,2218,9,28.7,4,2,7.06,10,132,86.49191,94.60797,254
"2024-08-15 20:15:00",15,62,24,8,15,18,6,26,14,42.3,3.9,53.9,0,2201,9,28.4,4,2,7.06,10,132,136.1569,110.5124,254
