tab_name,label,colname,color,default
Physiochemistry,DO_mgL,ODO_MgL,lightblue,F
Physiochemistry,FDOM_RFU,,brown,F
Physiochemistry,Chlorophyll_ugL,,darkgreen,F
Physiochemistry,Conductivity,,grey20,F
Physiochemistry,DO_saturation,ODO_sat,lightblue,F
Physiochemistry,Salinity_PPT,,grey50,T
Physiochemistry,TDS_mgL,TDS_mg_L,orange,F
Physiochemistry,pH,,pink,F
Physiochemistry,Temp_C,,red,F
Physiochemistry,Depth_m,,darkblue,T
Hydrology,Water_depth_m,Water_depth,darkblue,T
Hydrology,Flowrate_ms,Flowrate,lightblue1,F
Hydrology,Index_velocity_ms,Index_velocity,lightblue3,T
Hydrology,Mean_velocity_ms,Mean_velocity,lightblue4,F
GHG,H2O_ppm,H2O,lightblue,F
GHG,CO2_ppm,CO2,goldenrod,T
GHG,CH4_ppb,CH4,red4,T
GHG,Cavity_pressure,cavity_p,purple4,F
GHG,Cavity_temperature,cavity_t,red,F
Radon,Relative_humidity_pct,RH_sample_Rad7,lightblue,F
Radon,Radon_Bqm3,Radon_concentration_Rad7,purple,T
Radon,Radon_error_Bqm3,Radon_concentration_uncertainty_Rad7,darkblue,T
